RSECTION	DISTRICT	CO	ID_PREFIX	ID_RTE_NO	MUNICIPALITY	MP_SUFFIX	EXIT_NUMBER	RAMP_NUMBER	D	IS_INV_DIR	BEGIN_DIR_MP	END_DIR_MP	ROAD_NAME_START	BEGIN_DESCRIPTION	END_DESCRIPTION	SECTION_LENGTH	COLL_CATEGORY	PRIORITY	GOVT_CONTROL	NHS_CODE	INV_BMP	INV_EMP	BEG_LAT	BEG_LONG	END_LAT	END_LONG	GLOBAL_ROUTE_ID	SUB_ROUTE_ID	ROUTE	TRIMROUTE	ROUTEID	MULTIPLE_BEG_INT	MULTIPLE_END_INT	RVISIKEY	ASSOCIATED_ID_PREFIX	FDIR	BEGIN_SECTION_DESC	BEGIN_SECTION_MILE_POINT	END_SECTION_DESC	END_SECTION_MILE_POINT	COLLECTION_YEAR
4003013	4	HA	MD	152	0				N	1	3.3	5.24	MOUNTAIN RD	EXIT #74	SINGER RD	1.94	7	1	1	1	3.3	5.24	39.4420124	-76.3483462	39.4651588	-76.3685399	40030	1	MD 152	MD 152	12000MD00152  01NN**************	1	1	3188	MD	5					2016
4003014	4	HA	MD	152	0				N	1	5.24	11.69	MOUNTAIN RD	SINGER RD	PLEASANTVILLE RD	6.45	5	1	1	1	5.24	11.69	39.4651588	-76.3685399	39.5321969	-76.446228	40030	1	MD 152	MD 152	12000MD00152  01NN**************	1	1	3189	MD	5					2016
4003015	4	HA	MD	152	0				N	1	11.69	17.34	FALLSTON RD	PLEASANTVILLE RD	JARRETTSVILLE PIKE	5.65	7	1	1	1	11.69	17.34	39.5321969	-76.446228	39.5901374	-76.5094063	40030	1	MD 152	MD 152	12000MD00152  01NN**************	1	1	3190	MD	5					2016
4003021	4	HA	MD	152	0				S	0	0	17.34	FALLSTON RD	JARRETTSVILLE PIKE	ROAD END - GATE	17.34	3	3	1	1	0	17.34	39.5901374	-76.5094063	39.403007	-76.317247	40030	2	MD 152	MD 152	12000MD00152  01NS**************	1	1	3191	MD	6					2016
4003111	4	HA	MD	152	0	A 			N	1	0	0.09	NO NAME	FALLSTON RD	ROAD END - BARRICADE	0.09	10	2	1	0	0	0.09	39.5900778	-76.5086129	39.5912095	-76.5095272	40031	1	MD 152 A	MD 152 A	12000MD00152A 01NN**************	1	1	3192	MD	5					2016
4003121	4	HA	MD	152	0	A 			S	0	0	0.09	NO NAME	ROAD END - BARRICADE	FALLSTON RD	0.09	10	2	1	0	0	0.09	39.5912095	-76.5095272	39.5900778	-76.5086129	40031	2	MD 152 A	MD 152 A	12000MD00152A 01NS**************	1	1	3193	MD	6					2016
4003211	4	HA	MD	152	0	B 			S	1	0	0.22	JAYCEE DR	MOUNTAIN RD	JAYCEE DR (AHEAD)	0.22	10	2	31	0	0	0.22	39.4449938	-76.3508812	39.4428612	-76.3481709	40032	1	MD 152 B	MD 152 B	12000MD00152B 01SS**************	1	1	3194	MD	5					2016
4003221	4	HA	MD	152	0	B 			N	0	0	0.22	JAYCEE DR	JAYCEE DR (AHEAD)	MOUNTAIN RD	0.22	10	2	31	0	0	0.22	39.4428612	-76.3481709	39.4449938	-76.3508812	40032	2	MD 152 B	MD 152 B	12000MD00152B 01SN**************	1	1	3195	MD	6					2016
4003311	4	HA	MD	155	0				E	1	0	7.78	LEVEL RD	CHURCHVILLE RD	VINCE WAY	7.78	7	1	1	1	0	7.78	39.559263	-76.249441	39.5628344	-76.1174719	40033	1	MD 155	MD 155	12000MD00155  01EE**************	1	0	3196	MD	5					2016
4003312	4	HA	MD	155	0				E	1	7.78	9.06	LEVEL RD	VINCE WAY	PULASKI HWY	1.28	5	1	1	1	7.78	9.06	39.5628344	-76.1174719	39.552695	-76.101929	40033	1	MD 155	MD 155	12000MD00155  01EE**************	0	1	3197	MD	5					2016
4003321	4	HA	MD	155	0				W	0	0	9.06	OHIO ST	PULASKI HWY	CHURCHVILLE RD	9.06	3	3	1	1	0	9.06	39.552695	-76.101929	39.559263	-76.249441	40033	2	MD 155	MD 155	12000MD00155  01EW**************	1	1	3198	MD	6					2016
4003411	4	HA	MD	155	0	A 			E	1	0	0.11	NO NAME	CHURCHVILLE RD	LEVEL RD	0.11	10	2	1	0	0	0.11	39.5591778	-76.2512341	39.5599065	-76.2493777	40034	1	MD 155 A	MD 155 A	12000MD00155A 01EE**************	1	1	3199	MD	5					2016
4003421	4	HA	MD	155	0	A 			W	0	0.081	0.11	NO NAME		CHURCHVILLE RD	0.029	10	2	1	0	0.081	0.11	39.5595099	-76.2508603	39.5591778	-76.2512341	40034	2	MD 155 A	MD 155 A	12000MD00155A 01EW**************		1	3200	MD	6					2016
4003511	4	HA	MD	156	0				E	1	0	3.92	ALDINO RD	CHURCHVILLE RD	LEVEL RD	3.92	7	1	1	0	0	3.92	39.5543681	-76.238585	39.5723698	-76.1752981	40035	1	MD 156	MD 156	12000MD00156  01EE**************	1	1	3201	MD	5					2016
4003521	4	HA	MD	156	0				W	0	0	3.92	ALDINO RD	LEVEL RD	CHURCHVILLE RD	3.92	3	3	1	0	0	3.92	39.5723698	-76.1752981	39.554656	-76.238801	40035	2	MD 156	MD 156	12000MD00156  01EW**************	1	1	3202	MD	6					2016
4003611	4	HA	MD	156	0	A 			N	1	0	0.04	ALDINO RD SPUR			0.04	10	2	1	0	0	0.04	39.5536938	-76.2378371	39.5540869	-76.2373554	40036	1	MD 156 A	MD 156 A	12000MD00156A 01NN**************			3203	MD	5					2016
4003621	4	HA	MD	156	0	A 			S	0	0	0.04	ALDINO RD SPUR			0.04	10	2	1	0	0	0.04	39.5540869	-76.2373554	39.5536938	-76.2378371	40036	2	MD 156 A	MD 156 A	12000MD00156A 01NS**************			3204	MD	6					2016
4003711	4	HA	MD	159	0				N	1	0	4.73	PERRYMAN RD	ROAD END - GUARDRAIL	OLD PHILADELPHIA RD (AHEAD)	4.73	7	1	1	0	0	4.73	39.4397454	-76.2379342	39.48855	-76.1974806	40037	1	MD 159	MD 159	12000MD00159  01NN**************	1	1	3205	MD	5					2016
4003721	4	HA	MD	159	0				S	0	0	4.73	OLD PHILADELPHIA RD	OLD PHILADELPHIA RD (AHEAD)	ROAD END - GUARDRAIL	4.73	3	3	1	0	0	4.73	39.48855	-76.1974806	39.4397403	-76.2379852	40037	2	MD 159	MD 159	12000MD00159  01NS**************	1	1	3206	MD	6					2016
4003811	4	HA	MD	159	0	A 			N	1	0	0.05	NO NAME	PERRYMAN RD	ROAD END	0.05	10	2	1	0	0	0.05	39.472652	-76.204044	39.4734656	-76.2037794	40038	1	MD 159 A	MD 159 A	12000MD00159A 01NN**************	1	1	3207	MD	5					2016
4003821	4	HA	MD	159	0	A 			S	0	0	0.05	NO NAME	ROAD END	PERRYMAN RD	0.05	10	2	1	0	0	0.05	39.4734656	-76.2037794	39.472652	-76.204044	40038	2	MD 159 A	MD 159 A	12000MD00159A 01NS**************	1	1	3208	MD	6					2016
4003911	4	HA	MD	161	0				N	1	0	5.38	DARLINGTON RD	LEVEL RD	CONOWINGO RD	5.38	7	1	1	0	0	5.38	39.5767656	-76.1868306	39.6478757	-76.2066277	40039	1	MD 161	MD 161	12000MD00161  01NN**************	1	1	3209	MD	5					2016
4003921	4	HA	MD	161	0				S	0	0	5.38	MAIN ST	CONOWINGO RD	LEVEL RD	5.38	3	3	1	0	0	5.38	39.6478757	-76.2066277	39.5767883	-76.186817	40039	2	MD 161	MD 161	12000MD00161  01NS**************	1	1	3210	MD	6					2016
4004011	4	HA	MD	165	0				N	1	0	18.98	BALDWIN MILL RD	BALTIMORE CO/L	PENNSYLVANIA ST/L	18.98	7	1	1	0	0	18.98	39.5146116	-76.4778263	39.721174	-76.3431885	40040	1	MD 165	MD 165	12000MD00165  01NN**************	1	1	3211	MD	5					2016
4004021	4	HA	MD	165	0				S	0	0	18.98	PYLESVILLE RD	PENNSYLVANIA ST/L	BALTIMORE CO/L	18.98	3	3	1	0	0	18.98	39.721174	-76.3431885	39.5146116	-76.4778263	40040	2	MD 165	MD 165	12000MD00165  01NS**************	1	1	3212	MD	6					2016
4004111	4	HA	MD	439	0				E	1	0	1.22	OLD YORK RD	BALTIMORE CO/L	NORRISVILLE RD	1.22	7	1	1	0	0	1.22	39.6548502	-76.5668929	39.6416872	-76.5538458	40041	1	MD 439	MD 439	12000MD00439  01EE**************	1	1	3213	MD	5					2016
4004121	4	HA	MD	439	0				W	0	0	1.22	OLD YORK RD	NORRISVILLE RD	BALTIMORE CO/L	1.22	3	3	1	0	0	1.22	39.6416872	-76.5538458	39.6548502	-76.5668929	40041	2	MD 439	MD 439	12000MD00439  01EW**************	1	1	3214	MD	6					2016
4004211	4	HA	MD	440	0				E	1	0	5.65	DUBLIN RD	ADY RD	CONOWINGO RD	5.65	7	1	1	0	0	5.65	39.638878	-76.3329349	39.6530637	-76.2356252	40042	1	MD 440	MD 440	12000MD00440  01EE**************	1	1	3215	MD	5					2016
4004221	4	HA	MD	440	0				W	0	0	5.65	DUBLIN RD	CONOWINGO RD	ADY RD	5.65	3	3	1	0	0	5.65	39.6530896	-76.235699	39.6389178	-76.3329576	40042	2	MD 440	MD 440	12000MD00440  01EW**************	1	1	3216	MD	6					2016
4004311	4	HA	MD	462	0				N	1	0	4.15	PARADISE RD	W BELAIR AVE	PARADISE RD (AHEAD)	4.15	7	1	1	0	0	4.15	39.5134108	-76.1748542	39.5724137	-76.1693052	40043	1	MD 462	MD 462	12000MD00462  01NN**************	1	1	3217	MD	5					2016
4004321	4	HA	MD	462	0				S	0	0	4.15	PARADISE RD	PARADISE RD (AHEAD)	W BELAIR AVE	4.15	3	3	1	0	0	4.15	39.5724137	-76.1693052	39.5134334	-76.1748554	40043	2	MD 462	MD 462	12000MD00462  01NS**************	1	1	3218	MD	6					2016
4004411	4	HA	MD	490	0				N	1	0	0.31	S UNION AVE	TYDINGS MEMORIAL PARK	REVOLUTION ST	0.31	10	2	1	0	0	0.31	39.5388939	-76.0914221	39.5434809	-76.0915271	40044	1	MD 490	MD 490	12000MD00490  01NN**************	1	1	3219	MD	5					2016
4004421	4	HA	MD	490	0				S	0	0	0.31	S UNION AVE	REVOLUTION ST	COMMERCE ST	0.31	10	2	1	0	0	0.31	39.5434809	-76.0915271	39.5388939	-76.0914221	40044	2	MD 490	MD 490	12000MD00490  01NS**************	1	1	3220	MD	6					2016
4004511	4	HA	MD	543	0				N	1	0	19.08	RIVERSIDE PKWY	PULASKI HWY	PYLESVILLE RD	19.08	7	1	1	0	0	19.08	39.4718936	-76.2326782	39.6843098	-76.3757063	40045	1	MD 543	MD 543	12000MD00543  01NN**************	1	1	3221	MD	5					2016
4004521	4	HA	MD	543	0				S	0	0	19.08	ADY RD	PYLESVILLE RD	PULASKI HWY	19.08	3	3	1	0	0	19.08	39.6843211	-76.3757456	39.4719228	-76.2327123	40045	2	MD 543	MD 543	12000MD00543  01NS**************	1	1	3222	MD	6					2016
4004611	4	HA	MD	623	0				N	1	0	7.26	CASTLETON RD	MAIN ST	PENNSYLVANIA ST/L	7.26	7	1	1	0	0	7.26	39.6457011	-76.2041234	39.721185	-76.276891	40046	1	MD 623	MD 623	12000MD00623  01NN**************	1	1	3223	MD	5					2016
4004621	4	HA	MD	623	0				S	0	0	7.26	FLINTVILLE RD	PENNSYLVANIA ST/L	MAIN ST	7.26	3	3	1	0	0	7.26	39.721185	-76.276891	39.6457011	-76.2041234	40046	2	MD 623	MD 623	12000MD00623  01NS**************	1	1	3224	MD	6					2016
4004711	4	HA	MD	624	0				N	1	0	3.02	GRACETON RD	GRIER NURSERY RD (BACK)	PENNSYLVANIA ST/L	3.02	7	1	1	0	0	3.02	39.6797156	-76.3890866	39.721168	-76.395683	40047	1	MD 624	MD 624	12000MD00624  01NN**************	1	1	3225	MD	5					2016
4004721	4	HA	MD	624	0				S	0	0	3.02	GRACETON RD	PENNSYLVANIA ST/L	GRIER NURSERY RD (BACK)	3.02	3	3	1	0	0	3.02	39.721168	-76.395683	39.6797156	-76.3890866	40047	2	MD 624	MD 624	12000MD00624  01NS**************	1	1	3226	MD	6					2016
4004811	4	HA	MD	646	0				N	1	0	3.31	PROSPECT RD	CHERRY HILL RD (BACK)	WHITEFORD RD	3.31	7	1	1	0	0	3.31	39.6520525	-76.3357285	39.6905209	-76.3026484	40048	1	MD 646	MD 646	12000MD00646  01NN**************	1	1	3227	MD	5					2016
4004821	4	HA	MD	646	0				S	0	0	3.31	PROSPECT RD	WHITEFORD RD	CHERRY HILL RD (BACK)	3.31	3	3	1	0	0	3.31	39.6904967	-76.3026648	39.6520833	-76.3357835	40048	2	MD 646	MD 646	12000MD00646  01NS**************	1	1	3228	MD	6					2016
4004911	4	HA	MD	715	0				E	1	0	1	SHORT LA	S PHILADELPHIA BLVD	CROSSOVER	1	7	1	1	0	0	1	39.4933938	-76.1858682	39.488875	-76.170745	40049	1	MD 715	MD 715	12000MD00715  01EE**************	1	1	3229	MD	5					2016
4004921	4	HA	MD	715	0				W	0	0	1.06	SHORT LA	CROSSOVER	S PHILADELPHIA BLVD	1.06	3	3	1	0	0	1.06	39.489031	-76.170651	39.492443	-76.188234	40049	2	MD 715	MD 715	12000MD00715  01EW**************	1	1	3230	MD	6					2016
4005011	4	HA	MD	755	0				N	1	0	0.02	EDGEWOOD RD	START OF INVENTORY	GATE RD	0.02	7	1	1	1	0	0.02	39.4145888	-76.292599	39.4148199	-76.292351	40050	1	MD 755	MD 755	12000MD00755  01NN**************	0	1	3231	MD	5					2016
4005012	4	HA	MD	755	0				N	1	0.02	1.56	EDGEWOOD RD	GATE RD	EMMORTON RD	1.54	5	1	1	1	0.02	1.56	39.4148199	-76.292351	39.4329827	-76.3057738	40050	1	MD 755	MD 755	12000MD00755  01NN**************	1	1	3232	MD	5					2016
4005013	4	HA	MD	755	0				N	1	1.56	1.79	EDGEWOOD RD	EMMORTON RD	PULASKI HWY	0.23	7	1	1	1	1.56	1.79	39.4329827	-76.3057738	39.4364565	-76.307044	40050	1	MD 755	MD 755	12000MD00755  01NN**************	1	1	3233	MD	5					2016
4005021	4	HA	MD	755	0				S	0	0	1.79	EDGEWOOD RD	PULASKI HWY	START OF INVENTORY	1.79	3	3	1	1	0	1.79	39.436437	-76.3070103	39.4146613	-76.2926859	40050	2	MD 755	MD 755	12000MD00755  01NS**************	1	0	3234	MD	6					2016
4005111	4	HA	MD	763	0				E	1	0	0.28	SUPERIOR ST	OHIO ST	JUNIATA ST	0.28	10	2	1	0	0	0.28	39.5578308	-76.1020031	39.5567085	-76.0973786	40051	1	MD 763	MD 763	12000MD00763  01EE**************	1	1	3235	MD	5					2016
4005121	4	HA	MD	763	0				W	0	0	0.28	SUPERIOR ST	GLOW RD (AHEAD)	OHIO ST	0.28	10	2	1	0	0	0.28	39.5567085	-76.0973786	39.5578308	-76.1020031	40051	2	MD 763	MD 763	12000MD00763  01EW**************	1	1	3236	MD	6					2016
4005211	4	HA	MD	922	0	E 			S	1	0	0.24	CHURCHVILLE RD	CHURCHVILLE RD (WB COUPLET) (BACK)	BALTIMORE PIKE	0.24	9	1	1	1	0	0.24	39.5347878	-76.3475313	39.5321739	-76.3487963	40052	1	MD 922 E	MD 922 E	12000MD00922E 01SS**************	1	1	3237	MD	5					2016
4005311	4	HA	MD	924	0				N	1	0	7.39	EMMORTON RD	TOLLGATE RD (BACK)	ROCK SPRING AVE (AHEAD)	7.39	7	1	1	0	0	7.39	39.464308	-76.3141994	39.5551258	-76.3673474	40053	1	MD 924	MD 924	12000MD00924  01NN**************	1	1	3238	MD	5					2016
4005321	4	HA	MD	924	0				S	0	0	7.29	ROCK SPRING RD	ROCK SPRING AVE (BACK)	TOLLGATE RD (BACK)	7.29	3	3	1	0	0	7.39	39.5550372	-76.3673793	39.464592	-76.314275	40053	2	MD 924	MD 924	12000MD00924  01NS**************	1	1	3239	MD	6					2016
4032811	4	HA	RP	1	0		6	1	E	1	0	0.33	RAMP 1 FR US 1 NB TO MD 924 WB	BELAIR BYPASS	ROCK SPRING AVE	0.33	10	2	1	1	0	0.33	39.5555294	-76.3670451	39.554732	-76.3669402	40328	1	US 1 E6 R1	US 1 E6 R1	12000RP00001  02EEUS6         01	1	1	3241	US	5					2016
4032911	4	HA	RP	1	0		6	7	E	1	0	0.03	RAMP 7 FR MD 24 WB TO RAMP 6 (TO US 1)	ROCK SPRING AVE	RAMP 6 FR MD 24 EB TO US 1 SB	0.03	10	2	1	1	0	0.03	39.5567742	-76.3691443	39.5562719	-76.3695099	40329	1	US 1 E6 R7	US 1 E6 R7	12000RP00001  02EEUS6         07	1	1	3242	US	5					2016
4033011	4	HA	RP	1	0		6	2	N	1	0	0.49	RAMP 2 FR MD 924 WB TO US 1 NB	ROCK SPRING AVE	BELAIR BYPASS	0.49	10	2	1	1	0	0.49	39.5532732	-76.3654205	39.5599153	-76.3626542	40330	1	US 1 E6 R2	US 1 E6 R2	12000RP00001  02NNUS6         02	1	1	3243	US	5					2016
4033111	4	HA	RP	1	0		6	3	N	1	0	0.03	RAMP 3 FR MD 924 EB TO RAMP 2 (TO US 1)	ROCK SPRING AVE	RAMP 2 FR MD 924 WB TO US 1 NB	0.03	10	2	1	1	0	0.03	39.5537979	-76.3659664	39.5541119	-76.365491	40331	1	US 1 E6 R3	US 1 E6 R3	12000RP00001  02NNUS6         03	1	1	3244	US	5					2016
4033211	4	HA	RP	1	0		6	4	N	1	0	0.34	RAMP 4 FR US 1 NB TO MD 924 EB	BELAIR BYPASS	ROCK SPRING AVE	0.34	10	2	1	1	0	0.34	39.5505321	-76.3691138	39.5528262	-76.3649756	40332	1	US 1 E6 R4	US 1 E6 R4	12000RP00001  02NNUS6         04	1	1	3245	US	5					2016
4033311	4	HA	RP	1	0		6	5	S	1	0	0.04	RAMP 5 FR RAMP 8 (FR US 1) TO MD 24 EB	RAMP 8 FR US 1 SB TO MD 24 WB	ROCK SPRING AVE	0.04	10	2	1	1	0	0.04	39.5561819	-76.3675383	39.5558027	-76.3681358	40333	1	US 1 E6 R5	US 1 E6 R5	12000RP00001  02SSUS6         05	1	1	3246	US	5					2016
4033411	4	HA	RP	1	0		6	6	S	1	0	0.43	RAMP 6 FR MD 24 EB TO US 1 SB	ROCK SPRING AVE	BELAIR BYPASS	0.43	10	2	1	1	0	0.43	39.5576211	-76.3699677	39.5512662	-76.3690798	40334	1	US 1 E6 R6	US 1 E6 R6	12000RP00001  02SSUS6         06	1	1	3247	US	5					2016
4033511	4	HA	RP	1	0		6	8	S	1	0	0.2	RAMP 8 FR US 1 SB TO MD 24 WB	BELAIR BYPASS	ROCK SPRING AVE	0.2	10	2	1	1	0	0.2	39.5576479	-76.3653023	39.5562846	-76.3686572	40335	1	US 1 E6 R8	US 1 E6 R8	12000RP00001  02SSUS6         08	1	1	3248	US	5					2016
4033611	4	HA	RP	40	0		11	6	E	1	0	0.212	RAMP 6 FR US 40 EB TO MD 715 SB	S PHILADELPHIA BLVD	SHORT LA	0.212	10	2	1	1	0	0.212	39.4930753	-76.1860451	39.493072	-76.1821853	40336	1	US 40 E11 R6	US 40 E11 R6	12000RP00040  02EEUS11        06	1	1	3249	US	5					2016
4033711	4	HA	RP	40	0		14	6	E	1	0	0.17	RAMP 6 FR US 40 EB TO MD 22 SB	N PHILADELPHIA BLVD	ABERDEEN THRUWAY	0.17	10	2	1	0	0	0.17	39.513871	-76.1605563	39.5149285	-76.1579686	40337	1	US 40 E14 R6	US 40 E14 R6	12000RP00040  02EEUS14        06	1	1	3250	US	5					2016
4033811	4	HA	RP	40	0		11	4	N	1	0	0.107	RAMP 4 FR MD 715 NB TO US 40 EB	SHORT LA	S PHILADELPHIA BLVD	0.107	10	2	1	1	0	0.107	39.4931823	-76.1818006	39.4946569	-76.1819047	40338	1	US 40 E11 R4	US 40 E11 R4	12000RP00040  02NNUS11        04	1	1	3251	US	5					2016
4033911	4	HA	RP	40	0		11	5	N	1	0	0.055	RAMP 5 FR MD 715 SB TO RAMP 4 (TO US 40)	SHORT LA	RAMP 4 FR MD 715 NB TO US 40 EB	0.055	10	2	1	1	0	0.055	39.4934798	-76.1826271	39.494072	-76.182391	40339	1	US 40 E11 R5	US 40 E11 R5	12000RP00040  02NNUS11        05	1	1	3252	US	5					2016
4034011	4	HA	RP	40	0		14	4	N	1	0	0.19	RAMP 4 FR MD 22 NB TO US 40 EB	ABERDEEN THRUWAY	N PHILADELPHIA BLVD	0.19	10	2	1	1	0	0.19	39.5150703	-76.1578717	39.5168878	-76.1552077	40340	1	US 40 E14 R4	US 40 E14 R4	12000RP00040  02NNUS14        04	1	1	3253	US	5					2016
4034111	4	HA	RP	40	0		14	7	N	1	0	0.24	RAMP 7 FR US 40 WB TO MD 22 SB	N PHILADELPHIA BLVD	ABERDEEN THRUWAY	0.24	10	2	1	1	0	0.24	39.5138114	-76.1606098	39.5159709	-76.1587115	40341	1	US 40 E14 R7	US 40 E14 R7	12000RP00040  02NNUS14        07	1	1	3254	US	5					2016
4034211	4	HA	RP	40	0		11	2	S	1	0	0.22	RAMP 2 FR US 40 WB TO OP 1660	S PHILADELPHIA BLVD	ACCESS RD	0.22	10	2	1	1	0	0.22	39.4947237	-76.1823963	39.495062	-76.186841	40342	1	US 40 E11 R2	US 40 E11 R2	12000RP00040  02SSUS11        02	1	1	3255	US	5					2016
4034311	4	HA	RP	40	0		14	1	S	1	0	0.02	RAMP 1 FR RAMP 8 (FR MD 22) TO US 40 WB	RAMP 8 FR MD 22 SB TO US 40 WB	N PHILADELPHIA BLVD	0.02	10	2	1	0	0	0.02	39.5139523	-76.1610341	39.5135929	-76.1610173	40343	1	US 40 E14 R1	US 40 E14 R1	12000RP00040  02SSUS14        01	1	1	3256	US	5					2016
4034411	4	HA	RP	40	0		14	5	S	1	0	0.16	RAMP 5 FR MD 22 SB TO US 40 EB	ABERDEEN THRUWAY	N PHILADELPHIA BLVD	0.16	10	2	1	1	0	0.16	39.5153323	-76.1583235	39.5144077	-76.1599909	40344	1	US 40 E14 R5	US 40 E14 R5	12000RP00040  02SSUS14        05	1	1	3257	US	5					2016
4034511	4	HA	RP	40	0		14	8	S	1	0	0.26	RAMP 8 FR MD 22 SB TO US 40 WB	ABERDEEN THRUWAY	N PHILADELPHIA BLVD	0.26	10	2	1	0	0	0.26	39.5160271	-76.158772	39.5137534	-76.1606615	40345	1	US 40 E14 R8	US 40 E14 R8	12000RP00040  02SSUS14        08	1	1	3258	US	5					2016
4034611	4	HA	RP	40	0		14	2	W	1	0	0.17	RAMP 2 FR US 40 WB TO MD 22 NB	N PHILADELPHIA BLVD	ABERDEEN THRUWAY	0.17	10	2	1	1	0	0.17	39.516767	-76.1559839	39.5161572	-76.1588984	40346	1	US 40 E14 R2	US 40 E14 R2	12000RP00040  02WWUS14        02	1	1	3259	US	5					2016
4034711	4	HA	RP	40	0		14	3	W	1	0	0.02	RAMP 3 FR US 40 EB TO RAMP 7 (TO MD 22)	N PHILADELPHIA BLVD	RAMP 7 FR US 40 WB TO MD 22 SB	0.02	10	2	1	0	0	0.02	39.5141233	-76.1605613	39.5140005	-76.1609791	40347	1	US 40 E14 R3	US 40 E14 R3	12000RP00040  02WWUS14        03	1	1	3260	US	5					2016
4034811	4	HA	RP	40	0		14	9	W	1	0	0.055	RAMP 9 FR RAMPS 7&8 TO ROGERS ST	RAMP 7 FR US 40 WB TO MD 22 SB	ROGERS ST	0.055	10	2	1	0	0	0.055	39.5144264	-76.1617697	39.5139257	-76.1625043	40348	1	US 40 E14 R9	US 40 E14 R9	12000RP00040  02WWUS14        09	1	1	3261	US	5					2016
4034821	4	HA	RP	40	0		14	9	E	0	0	0.055	RAMP 9 FR RAMPS 7&8 TO ROGERS ST	ROGERS ST	N PHILADELPHIA BLVD	0.055	10	2	1	0	0	0.055	39.5139257	-76.1625043	39.5144264	-76.1617697	40348	2	US 40 E14 R9	US 40 E14 R9	12000RP00040  02WEUS14        09	1	1	3262	US	6					2016
4034911	4	HA	RP	95	0		74	3	E	1	0	0.5	RAMP 3 FR IS 95 EB TO MD 152 NB	J F K MEMORIAL HWY	RAMP 5 FR MD 152 SB TO IS 95 EB	0.5	10	2	31	1	0	0.5	39.4419682	-76.3566506	39.4412266	-76.347779	40349	1	IS 95 E74 R3	IS 95 E74 R3	12000RP00095  02EEIS74        03	1	1	3263	IS	5					2016
4035011	4	HA	RP	95	0		74	5	E	1	0	0.24	RAMP 5 FR MD 152 SB TO IS 95 EB	MOUNTAIN RD	J F K MEMORIAL HWY	0.24	10	2	31	1	0	0.24	39.4412266	-76.347779	39.4420616	-76.3436861	40350	1	IS 95 E74 R5	IS 95 E74 R5	12000RP00095  02EEIS74        05	1	1	3264	IS	5					2016
4035111	4	HA	RP	95	0		74	6	E	1	0	0.07	RAMP 6 FR RAMP 3 (FR IS 95) TO MD 152 SB	RAMP 3 FR IS 95 EB TO MD 152 NB	MOUNTAIN RD	0.07	10	2	31	1	0	0.07	39.4410001	-76.348659	39.4406193	-76.34737	40351	1	IS 95 E74 R6	IS 95 E74 R6	12000RP00095  02EEIS74        06	1	1	3265	IS	5					2016
4035211	4	HA	RP	95	0		77	3	E	1	0	0.69	RAMP 3 FR IS 95 EB TO RAMP 4 (TO MD 924)	J F K MEMORIAL HWY	END OF INVENTORY	0.69	10	2	31	1	0	0.69	39.4538324	-76.3159335	39.4559312	-76.3092174	40352	1	IS 95 E77 R3	IS 95 E77 R3	12000RP00095  02EEIS77        03	1	0	3266	IS	5					2016
4035311	4	HA	RP	95	0		77	5	E	1	0	0.08	RAMP 5 FR MD 24 SB TO RP 4 (TO IS 95 EB)	RAMP 9 FR RAMP 6 (FR IS 95) TO MD 24 NB	RAMP 4 FR MD 24 NB TO IS 95 EB	0.08	10	2	31	1	0	0.08	39.4550036	-76.3087071	39.4557048	-76.3074846	40353	1	IS 95 E77 R5	IS 95 E77 R5	12000RP00095  02EEIS77        05	1	1	3267	IS	5					2016
4035411	4	HA	RP	95	0		77	6	E	1	0	0.39	RAMP 6 FR RP 3 (FR IS 95 EB) TO MD 24 SB	START OF INVENTORY	VIETNAM VETERANS MEMORIAL HWY	0.39	10	2	31	1	0	0.39	39.4541622	-76.3150316	39.4541269	-76.3080885	40354	1	IS 95 E77 R6	IS 95 E77 R6	12000RP00095  02EEIS77        06	0	1	3268	IS	5					2016
4035511	4	HA	RP	95	0		77	9	E	1	0	0.08	RAMP 9 FR RP 6 (FR IS 95 EB) TO MD 24 NB	RAMP 6 FR IS 95 EB TO MD 24 SB	VIETNAM VETERANS MEMORIAL HWY	0.08	10	2	31	1	0	0.08	39.4546126	-76.3100037	39.4550036	-76.3087071	40355	1	IS 95 E77 R9	IS 95 E77 R9	12000RP00095  02EEIS77        09	1	1	3269	IS	5					2016
4035611	4	HA	RP	95	0		80	1	E	1	0	0.46	RAMP 1 FR IS 95 NB TO MD 543 WB	J F K MEMORIAL HWY	RAMP 3 FR MD 543 EB TO IS 95 NB	0.46	10	2	31	1	0	0.46	39.4816574	-76.2592735	39.4829725	-76.2505732	40356	1	IS 95 E80 R1	IS 95 E80 R1	12000RP00095  02EEIS80        01	1	1	3270	IS	5					2016
4035711	4	HA	RP	95	0		80	3	E	1	0	0.36	RAMP 3 FR MD 543 EB TO IS 95 NB	CRESWELL RD	J F K MEMORIAL HWY	0.36	10	2	31	1	0	0.36	39.4829725	-76.2505732	39.4863415	-76.2455751	40357	1	IS 95 E80 R3	IS 95 E80 R3	12000RP00095  02EEIS80        03	1	1	3271	IS	5					2016
